Title,Popularity,Score,Last day in cinema
Inside Out 2,327.8,0,2024-08-11
The Masked Saint,380.0,4,2016-03-08
Jaque Mate,532.3,4,2024-03-25
Bullet Train Down,1015.9,4,2022-09-30
Final Fantasy VII: On the Way to a Smile - Episode Denzel,305.3,5,2009-06-15
The Voyagers,350.0,5,2023-01-20
The OctoGames,407.0,5,2022-12-06
Skal - Fight for Survival,451.9,5,2024-01-23
Death Alley,486.4,5,2021-05-10
Meteor,563.8,5,2021-10-31
The Weapon,578.9,5,2023-04-18
Megamind vs. the Doom Syndicate,846.7,5,2024-04-30
Madame Web,2707.5,5,2024-04-14
Cat and Dog,307.6,6,2024-04-14
The Five,312.7,6,2023-03-08
The Adventures,319.0,6,2024-02-20
Ghost Project,342.9,6,2023-10-06
#Blue_Whale,344.2,6,2021-12-06
Irish Wish,359.0,6,2024-05-13
Wish,414.4,6,2024-01-12
Art of Love,430.8,6,2024-05-13
The Marvels,431.6,6,2024-01-07
Aquaman and the Lost Kingdom,446.9,6,2024-02-18
Leave,456.1,6,2022-12-27
Ruthless,558.5,6,2024-02-12
Ghostbusters: Frozen Empire,618.6,6,2024-05-19
Code 8 Part II,797.3,6,2024-04-27
Argylle,913.8,6,2024-03-31
Air Force One Down,1006.2,6,2024-04-09
No Way Up,1189.8,6,2024-03-18
Sri Asih,1292.9,6,2023-01-16
Kung Fu Panda 4,4795.1,6,2024-05-01
Fast X,298.7,7,2023-07-16
Robot Dreams,304.5,7,2023-12-19
The Passion of the Christ,308.5,7,2004-04-25
Kung Fu Panda,317.3,7,2008-08-03
Harry Potter and the Chamber of Secrets,331.9,7,2003-01-12
The Boy and the Heron,335.1,7,2023-09-12
The Beekeeper,342.3,7,2024-03-08
The Thundermans Return,346.0,7,2024-05-06
Red Right Hand,431.3,7,2024-04-22
The Adventure of A.R.I.: My Robot Friend,440.7,7,2022-03-14
Dune,457.2,7,2021-11-14
Creation of the Gods I: Kingdom of Storms,458.2,7,2023-09-18
Alienoid,497.2,7,2022-09-18
Stopmotion,501.1,7,2024-04-22
24 Hours with Gaspar,531.8,7,2023-12-05
Bob Marley: One Love,565.2,7,2024-04-14
Poor Things,633.5,7,2024-02-05
Wonka,650.5,7,2024-02-04
Anyone But You,670.5,7,2024-02-19
"The Pig, the Snake and the Pigeon",720.9,7,2023-12-05
Vikings: Battle of Heirs,741.8,7,2023-06-27
Land of Bad,890.4,7,2024-03-25
Migration,922.4,7,2024-02-04
Road House,933.7,7,2024-05-07
Damsel,1663.4,7,2024-05-07
Oppenheimer,533.2,8,2023-09-17
Dune: Part Two,886.6,8,2024-04-27
Godzilla x Kong: The New Empire,926.6,8,2024-05-26
